core.attitude_control, AttitudeControl, systime, str, 1
core.attitude_control, AttitudeControl, gas_vector, float, 3
core.attitude_control, AttitudeControl, sas_vector, float, 3
core.attitude_control, AttitudeControl, gyro_vector, float, 3
core.attitude_control, AttitudeControl, stt_quaternion, float, 4
core.attitude_control, AttitudeControl, gps_info, float, 3
core.attitude_control, AttitudeControl, utc_time, str, 1
core.attitude_control, AttitudeControl, dcm_inertia_to_body, float, 9
core.attitude_control, AttitudeControl, target_vector, float, 6
core.attitude_control, AttitudeControl, target_omega, float, 3
core.attitude_control, AttitudeControl, output_torque, float, 3
core.attitude_control, AttitudeControl, output_magnetic_moment, float, 3
core.attitude_control, AttitudeControl, target_position, float, 3
core.attitude_control, AttitudeControl, attitude_determine_system, int, 1
core.attitude_control, AttitudeControl, attitude_determine_system_str, str, 1
core.attitude_control, AttitudeControl, attitude_control_system, int, 1
core.attitude_control, AttitudeControl, attitude_control_system_str, str, 1
core.attitude_control, AttitudeControl, actuator, int, 1
core.attitude_control, AttitudeControl, actuator_str, str, 1
core.attitude_control, AttitudeControl, target_observation, int, 1
core.attitude_control, AttitudeControl, target_observation_str, str, 1
core.attitude_control, AttitudeControl, target_orbit, int, 1
core.attitude_control, AttitudeControl, target_orbit_str, str, 1
