core.gyro, CeIru, systime, str, 10
core.gyro, CeIru, counter, int, 10
core.gyro, CeIru, gyro_status1, int, 10
core.gyro, CeIru, gyro_status2, int, 10
core.gyro, CeIru, iru_status, int, 10
core.gyro, CeIru, err_status, int, 10
core.gyro, CeIru, angular_increment_x, int, 10
core.gyro, CeIru, angular_increment_y, int, 10
core.gyro, CeIru, angular_increment_z1, int, 10
core.gyro, CeIru, angular_increment_z2, int, 10
core.gyro, CeIru, gyro_temp1, int, 10
core.gyro, CeIru, gyro_temp2, int, 10
core.gyro, CeIru, cpu_temp, int, 10
core.gyro, CeIru, cluster_temp, int, 10
core.gyro, CeIru, gyro1_rotation_vel, int, 10
core.gyro, CeIru, gyro2_rotation_vel, int, 10
core.gyro, CeIru, vx, int, 10
core.gyro, CeIru, vy, int, 10
core.gyro, CeIru, vz1, int, 10
core.gyro, CeIru, vz2, int, 10
core.gyro, CeIru, gyro_driver_status, int, 10
