core.gps, Gps, systime, str, 1
core.gps, Gps, lat_deg, int, 1
core.gps, Gps, long_deg, int, 1
core.gps, Gps, altitude, int, 1
core.gps, Gps, x_pos_vec, int, 1
core.gps, Gps, y_pos_vec, int, 1
core.gps, Gps, z_pos_vec, int, 1
core.gps, Gps, x_velocity, int, 1
core.gps, Gps, y_velocity, int, 1
core.gps, Gps, z_velocity, int, 1
core.gps, Gps, utc, int, 1
core.gps, Gps, dummy1, int, 1
core.gps, Gps, num_of_satellites_tracked, int, 1
core.gps, Gps, num_of_sat_used_in_solution, int, 1
core.gps, Gps, num_of_sat_vehicles_used_in_solution, int, 1
core.gps, Gps, gps_glonass_sig_mask, int, 1
core.gps, Gps, receiver_status, int, 1
core.gps, Gps, solution_status, int, 1
core.gps, Gps, position_type, int, 1
core.gps, Gps, velocity_type, int, 1
core.gps, Gps, time_clock_status, int, 1
core.gps, Gps, bestpos_gps_week, int, 1
core.gps, Gps, bestpos_gps_ms, int, 1
core.gps, Gps, dummy2, int, 1
core.gps, Gps, bestxyz_gps_ms, int, 1
core.gps, Gps, time_gps_ms, int, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.error_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.temp_status, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.vol_supply_status, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.primary_ant_power_status, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.lna, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.primary_ant_open_circuit_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.primary_ant_short_circuit_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.cpu_overload_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.comport_buff_overrun, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.link_overrun_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.input_overrun_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.aux_transmit_overrun_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.agc_out_of_range, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.jammer_detected, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.ins_reset_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.imu_com_failure, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.gps_almanac_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.pos_solution_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.pos_fixed_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.clock_steering_status, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.clock_model_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.ext_oscillator_locked_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.software_resource, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.version_bit, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.tracking_mode, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.digital_filtering_enabled, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.aux3_status_event_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.aux2_status_event_flag, NoneType, 1
core.gps, Gps, receiverStatusCls.ReceiverStatus.aux1_status_event_flag, NoneType, 1
core.gps, Gps, gps_index, int, 1
