core.djm, I2c, unit_type, str, 1
core.djm, I2c, cpu_i2c_origin, float, 1
core.djm, I2c, djm_15, float, 1
core.djm, I2c, temp_sensor, float, 1
core.djm, I2c, mtq, float, 1
core.djm, I2c, sas1, float, 1
core.djm, I2c, sas2, float, 1
core.djm, I2c, djm_i2c, float, 1
core.djm, I2c, heater1, float, 1
core.djm, I2c, heater2, float, 1
core.djm, I2c, heater3, float, 1
core.djm, I2c, heater4, float, 1
core.djm, I2c, hdrm1, float, 1
core.djm, I2c, hdrm2, float, 1
core.pcu, I2c, unit_type, str, 1
core.pcu, I2c, m_iru, float, 1
core.pcu, I2c, ce_iru, float, 1
core.pcu, I2c, mic, float, 1
core.pcu, I2c, tx_a, float, 1
core.pcu, I2c, rx_a, float, 1
core.pcu, I2c, modem_a, float, 1
core.pcu, I2c, stt1, float, 1
core.pcu, I2c, stt2, float, 1
core.pcu, I2c, stt3, float, 1
core.pcu, I2c, stt4, float, 1
core.pcu, I2c, obc_a, float, 1
core.pcu, I2c, obc_b, float, 1
core.pcu, I2c, tx_b, float, 1
core.pcu, I2c, rx_b, float, 1
core.pcu, I2c, modem_b, float, 1
core.pcu, I2c, main, float, 1
core.pcu, I2c, gas, float, 1
core.pcu, I2c, gps1, float, 1
core.pcu, I2c, gps2, float, 1
