core.obc, Obc, systime, str, 1
core.obc, Obc, sap_i, int, 1
core.obc, Obc, sap_v, int, 1
core.obc, Obc, chrg_i, int, 1
core.obc, Obc, chrg_v, int, 1
core.obc, Obc, disc_i, int, 1
core.obc, Obc, disc_v, int, 1
core.obc, Obc, battery_power, int, 1
core.obc, Obc, cell_balance_thresh, int, 1
core.obc, Obc, pwm_period, float, 1
core.obc, Obc, pwm_duty, float, 1
core.obc, Obc, cell_balance_port_a, str, 5
core.obc, Obc, cell_balance_port_b, str, 5
core.obc, Obc, cell_balance_time.1, int, 5
core.obc, Obc, cell_balance_time.2, int, 5
core.obc, Obc, battchg_auto_mode, str, 1
core.obc, Obc, battchg_on, str, 1
core.obc, Obc, cell_balance_mode, str, 1
core.obc, Obc, in_port_status, int, 1
core.obc, Obc, obc_fw_update_status, str, 1
core.obc, Obc, pcu_djm_fw_update_status, str, 1
core.obc, Obc, upload_file_name, str, 1
core.obc, Obc, upload_file_error_count, int, 1
core.obc, Obc, upload_file_lost_total_size, int, 1
core.obc, Obc, upload_file_lost_offset, int, 1
core.obc, Obc, upload_file_lost_size, int, 1
core.obc, Obc, upload_file_state, str, 1
core.obc, Obc, build_date, str, 1
core.obc, Obc, revision, str, 1
core.obc, Obc, keep_alive_count, int, 1
core.obc, Obc, cpu_mode, str, 1
core.obc, Obc, rx_modem_id, str, 1
core.obc, Obc, run_app, str, 1
core.obc, Obc, reg_wrcsr, str, 1
core.obc, Obc, boot_count, int, 1
