core.gps, ReceiverStatus, error_flag, NoneType, 1
core.gps, ReceiverStatus, temp_status, NoneType, 1
core.gps, ReceiverStatus, vol_supply_status, NoneType, 1
core.gps, ReceiverStatus, primary_ant_power_status, NoneType, 1
core.gps, ReceiverStatus, lna, NoneType, 1
core.gps, ReceiverStatus, primary_ant_open_circuit_flag, NoneType, 1
core.gps, ReceiverStatus, primary_ant_short_circuit_flag, NoneType, 1
core.gps, ReceiverStatus, cpu_overload_flag, NoneType, 1
core.gps, ReceiverStatus, comport_buff_overrun, NoneType, 1
core.gps, ReceiverStatus, link_overrun_flag, NoneType, 1
core.gps, ReceiverStatus, input_overrun_flag, NoneType, 1
core.gps, ReceiverStatus, aux_transmit_overrun_flag, NoneType, 1
core.gps, ReceiverStatus, agc_out_of_range, NoneType, 1
core.gps, ReceiverStatus, jammer_detected, NoneType, 1
core.gps, ReceiverStatus, ins_reset_flag, NoneType, 1
core.gps, ReceiverStatus, imu_com_failure, NoneType, 1
core.gps, ReceiverStatus, gps_almanac_flag, NoneType, 1
core.gps, ReceiverStatus, pos_solution_flag, NoneType, 1
core.gps, ReceiverStatus, pos_fixed_flag, NoneType, 1
core.gps, ReceiverStatus, clock_steering_status, NoneType, 1
core.gps, ReceiverStatus, clock_model_flag, NoneType, 1
core.gps, ReceiverStatus, ext_oscillator_locked_flag, NoneType, 1
core.gps, ReceiverStatus, software_resource, NoneType, 1
core.gps, ReceiverStatus, version_bit, NoneType, 1
core.gps, ReceiverStatus, tracking_mode, NoneType, 1
core.gps, ReceiverStatus, digital_filtering_enabled, NoneType, 1
core.gps, ReceiverStatus, aux3_status_event_flag, NoneType, 1
core.gps, ReceiverStatus, aux2_status_event_flag, NoneType, 1
core.gps, ReceiverStatus, aux1_status_event_flag, NoneType, 1
