core.rw, Rw, rw_id, int, 1
core.rw, Rw, systime, str, 10
core.rw, Rw, omega_dot, int, 10
core.rw, Rw, omega, int, 10
core.rw, Rw, status.Status.servo_status, str, 1
core.rw, Rw, status.Status.torque_direction, str, 1
core.rw, Rw, status.Status.motor_direction, str, 1
core.rw, Rw, dummy, int, 10
core.rw, Rw, error.ErrorInfo.over_voltage, str, 1
core.rw, Rw, error.ErrorInfo.sensor_error, str, 1
core.rw, Rw, error.ErrorInfo.over_current, str, 1
core.rw, Rw, error.ErrorInfo.over_velocity, str, 1
core.rw, Rw, error.ErrorInfo.storage_error, str, 1
core.rw, Rw, error.ErrorInfo.over_tmp, str, 1
core.rw, Rw, velocity, float, 10
core.rw, Rw, current, float, 10
core.rw, Rw, board_tmp, float, 10
core.rw, Rw, motor_tmp, float, 10
