core.stt, Stt, stt_id, int, 1
core.stt, Stt, systime, str, 1
core.stt, Stt, capture_id, int, 1
core.stt, Stt, estimation_status, str, 1
core.stt, Stt, attitude, int, 4
core.stt, Stt, attitude_time, str, 1
core.stt, Stt, board_temp, float, 1
core.stt, Stt, cmos_temp, float, 1
core.stt, Stt, fpga_detected_star_cnt, int, 1
core.stt, Stt, cpu_detected_star_cnt, int, 1
core.stt, Stt, detected_star_cnt, int, 1
core.stt, Stt, star_info.StarInfo.star_info_id, int, 1
core.stt, Stt, star_info.StarInfo.hipparcos_id, int, 1
core.stt, Stt, star_info.StarInfo.luminance, int, 1
core.stt, Stt, star_info.StarInfo.azimuth, int, 1
core.stt, Stt, star_info.StarInfo.elevation, int, 1
core.stt, Stt, attitude_error, float, 1
core.stt, Stt, focal_length, float, 1
