core.marvi_hk_data, MarviHkData, obc, Obc, 1
core.marvi_hk_data, MarviHkData, djm.1, Djm, 1
core.marvi_hk_data, MarviHkData, djm.2, Djm, 1
core.marvi_hk_data, MarviHkData, djm.3, Djm, 1
core.marvi_hk_data, MarviHkData, djm.4, Djm, 1
core.marvi_hk_data, MarviHkData, djm.5, Djm, 1
core.marvi_hk_data, MarviHkData, pcu, Pcu, 1
core.marvi_hk_data, MarviHkData, rw.1, Rw, 1
core.marvi_hk_data, MarviHkData, rw.2, Rw, 1
core.marvi_hk_data, MarviHkData, rw.3, Rw, 1
core.marvi_hk_data, MarviHkData, rw.4, Rw, 1
core.marvi_hk_data, MarviHkData, ce_iru, CeIru, 1
core.marvi_hk_data, MarviHkData, stt.1, Stt, 1
core.marvi_hk_data, MarviHkData, stt.2, Stt, 1
core.marvi_hk_data, MarviHkData, stt.3, Stt, 1
core.marvi_hk_data, MarviHkData, stt.4, Stt, 1
core.marvi_hk_data, MarviHkData, gps, Gps, 1
core.marvi_hk_data, MarviHkData, att, AttitudeControl, 1
core.marvi_hk_data, MarviHkData, mission, MissionController, 1
