marvi_hk_data, MarviHkData, obc, Obc, 1, obc.Obc
marvi_hk_data, MarviHkData, djm.1, Djm, 1, djm.Djm
marvi_hk_data, MarviHkData, djm.2, Djm, 1, djm.Djm
marvi_hk_data, MarviHkData, djm.3, Djm, 1, djm.Djm
marvi_hk_data, MarviHkData, djm.4, Djm, 1, djm.Djm
marvi_hk_data, MarviHkData, djm.5, Djm, 1, djm.Djm
marvi_hk_data, MarviHkData, pcu, Pcu, 1, pcu.Pcu
marvi_hk_data, MarviHkData, rw.1, Rw, 1, rw.Rw
marvi_hk_data, MarviHkData, rw.2, Rw, 1, rw.Rw
marvi_hk_data, MarviHkData, rw.3, Rw, 1, rw.Rw
marvi_hk_data, MarviHkData, rw.4, Rw, 1, rw.Rw
marvi_hk_data, MarviHkData, ce_iru, CeIru, 1, gyro.CeIru
marvi_hk_data, MarviHkData, m_iru, MIru, 1, gyro.MIru
marvi_hk_data, MarviHkData, stt.1, Stt, 1, stt.Stt
marvi_hk_data, MarviHkData, stt.2, Stt, 1, stt.Stt
marvi_hk_data, MarviHkData, stt.3, Stt, 1, stt.Stt
marvi_hk_data, MarviHkData, stt.4, Stt, 1, stt.Stt
marvi_hk_data, MarviHkData, gps, Gps, 1, gps.Gps
marvi_hk_data, MarviHkData, att, AttitudeControl, 1, attitude_control.AttitudeControl
marvi_hk_data, MarviHkData, mission, MissionController, 1, mission_controller.MissionController
