obc, Obc, obc.systime, str, 1
obc, Obc, obc.sap_i, int, 1
obc, Obc, obc.sap_v, int, 1
obc, Obc, obc.chrg_i, int, 1
obc, Obc, obc.chrg_v, int, 1
obc, Obc, obc.disc_i, int, 1
obc, Obc, obc.disc_v, int, 1
obc, Obc, obc.battery_power, int, 1
obc, Obc, obc.cell_balance_thresh, int, 1
obc, Obc, obc.pwm_period, float, 1
obc, Obc, obc.pwm_duty, float, 1
obc, Obc, obc.cell_balance_port_a.1, str, 1
obc, Obc, obc.cell_balance_port_a.2, str, 1
obc, Obc, obc.cell_balance_port_a.3, str, 1
obc, Obc, obc.cell_balance_port_a.4, str, 1
obc, Obc, obc.cell_balance_port_a.5, str, 1
obc, Obc, obc.cell_balance_port_b.1, str, 1
obc, Obc, obc.cell_balance_port_b.2, str, 1
obc, Obc, obc.cell_balance_port_b.3, str, 1
obc, Obc, obc.cell_balance_port_b.4, str, 1
obc, Obc, obc.cell_balance_port_b.5, str, 1
obc, Obc, obc.cell_balance_time.1, int, 1
obc, Obc, obc.cell_balance_time.2, int, 1
obc, Obc, obc.battchg_auto_mode, str, 1
obc, Obc, obc.battchg_on, str, 1
obc, Obc, obc.cell_balance_mode, str, 1
obc, Obc, obc.in_port_status, int, 1
obc, Obc, obc.obc_fw_update_status, str, 1
obc, Obc, obc.pcu_djm_fw_update_status, str, 1
obc, Obc, obc.upload_file_name, str, 1
obc, Obc, obc.upload_file_error_count, int, 1
obc, Obc, obc.upload_file_lost_total_size, int, 1
obc, Obc, obc.upload_file_lost_offset, int, 1
obc, Obc, obc.upload_file_lost_size, int, 1
obc, Obc, obc.upload_file_state, str, 1
obc, Obc, obc.build_date, str, 1
obc, Obc, obc.revision, str, 1
obc, Obc, obc.keep_alive_count, int, 1
obc, Obc, obc.cpu_mode, str, 1
obc, Obc, obc.rx_modem_id, str, 1
obc, Obc, obc.run_app, str, 1
obc, Obc, obc.reg_wrcsr, str, 1
obc, Obc, obc.boot_count, int, 1
djm, Djm, djm.1.djm_id, int, 1
djm, Djm, djm.1.systime, str, 1
djm, Djm, djm.1.log_size, int, 1
djm, Djm, djm.1.hk_djm_id, int, 1
djm, Djm, djm.1.string_v.1, float, 1
djm, Djm, djm.1.string_v.2, float, 1
djm, Djm, djm.1.string_v.3, float, 1
djm, Djm, djm.1.string_v.4, float, 1
djm, Djm, djm.1.string_v.5, float, 1
djm, Djm, djm.1.string_v.6, float, 1
djm, Djm, djm.1.string_v.7, float, 1
djm, Djm, djm.1.string_v.8, float, 1
djm, Djm, djm.1.pulse_status.1, int, 1
djm, Djm, djm.1.pulse_status.2, int, 1
djm, Djm, djm.1.pulse_status.3, int, 1
djm, Djm, djm.1.pulse_status.4, int, 1
djm, Djm, djm.1.sap_panel_v, float, 1
djm, Djm, djm.1.sap_panel_i, float, 1
djm, Djm, djm.1.i2c_sas_power, float, 1
djm, Djm, djm.1.tmp, float, 1
djm, Djm, djm.1.ads1115_temp.1, float, 1
djm, Djm, djm.1.ads1115_temp.2, float, 1
djm, Djm, djm.1.ads1115_temp.3, float, 1
djm, Djm, djm.1.ads1115_temp.4, float, 1
djm, Djm, djm.1.ads1115_temp.5, float, 1
djm, Djm, djm.1.ads1115_temp.6, float, 1
djm, Djm, djm.1.ads1115_temp.7, float, 1
djm, Djm, djm.1.ads1115_temp.8, float, 1
djm, Djm, djm.1.ads1115_temp.9, float, 1
djm, Djm, djm.1.ads1115_temp.10, float, 1
djm, I2c, djm.1.i2c_current.unit_type, str, 1
djm, I2c, djm.1.i2c_current.cpu_i2c_origin, float, 1
djm, I2c, djm.1.i2c_current.djm_15, float, 1
djm, I2c, djm.1.i2c_current.temp_sensor, float, 1
djm, I2c, djm.1.i2c_current.mtq, float, 1
